generation,candidate,rank,crowding,detection_time,beta_detected,migration,quarantine_threshold,death_fraction,peak_fraction,raw_death_fraction,raw_peak_fraction
7,5,9,Inf,5,0.09530430004562167,0.0,0.0721397530718554,0.3819999999999999,0.6666666666666665,0.048666666666666664,0.3333333333333333
7,6,10,Inf,5,0.04349034883158841,0.0,0.0917213683006178,0.38333333333333325,0.6666666666666665,0.05,0.3333333333333333
7,7,12,Inf,5,0.06703153176693093,0.0,0.0729219007285747,0.3856666666666666,0.6666666666666665,0.052333333333333336,0.3333333333333333
7,8,14,Inf,7,0.0705029551771798,0.000530887983094374,0.09046618369181611,0.39811185234600865,0.6825563709139428,0.050333333333333334,0.3347778519012675
7,9,15,Inf,3,0.01,0.15209544002284386,0.11134124304666439,1.9504122137404583,2.375053435114504,0.064,0.4886412213740458
7,10,11,Inf,5,0.041098111806156856,0.0,0.08476645668827164,0.3846666666666666,0.6666666666666665,0.051333333333333335,0.3333333333333333
7,11,7,Inf,4,0.07961293552346049,0.0,0.05800928512140782,0.3814429619746501,0.6642205915054484,0.050333333333333334,0.33311096286413167
7,12,13,Inf,5,0.061786973018294805,0.0,0.07520610511957909,0.3936666666666666,0.6666666666666665,0.060333333333333336,0.3333333333333333
7,13,17,Inf,5,0.06680975321024243,0.058541580778446824,0.09482883450061365,7.143360989810771,7.995997088791848,0.147,0.9996360989810771
7,14,4,Inf,2,0.017556339366256713,0.17219832149803732,0.12094273752157686,0.0,0.007666666666666667,0.0,0.007666666666666667
7,15,5,Inf,2,0.04634906236721126,0.19601627700906807,0.08564076313827089,0.0,0.010666666666666666,0.0,0.010666666666666666
7,16,7,Inf,7,0.07289029357088159,0.0,0.08998676388650252,0.3776666666666666,0.6666666666666665,0.044333333333333336,0.3333333333333333
7,17,16,Inf,3,0.030271646153762165,0.17254654388690305,0.07546501101250107,6.9947652222259915,7.863341744448591,0.119,0.9875765222225992
7,18,6,Inf,2,0.04445660415446959,0.17545622933736804,0.0970260775702197,0.0016666666666666668,0.029722778891115565,0.0016666666666666668,0.029722778891115565
