time,black,white,total,empty,temperature,luminosity,albedo,regulation_error,control_temperature,temperature_advantage
703,0,900,900,0,15.843257767557871,1.4924999999999895,0.75,6.656742232442129,72.2937427577964,43.13700052535427
704,0,900,900,0,15.442936726206362,1.4899999999999896,0.75,7.057063273793638,72.17344130956906,42.61637803577542
705,0,900,900,0,14.657142895337183,1.4874999999999896,0.75,7.8428571046628175,72.05293851767384,41.71008141301102
706,0,900,900,0,13.258286328850462,1.4849999999999897,0.75,9.241713671149538,71.93223370701664,40.190520035867095
707,0,900,900,0,12.323209195548861,1.4824999999999897,0.75,10.176790804451139,71.8113261991002,39.134535394649056
708,0,900,900,0,11.61991974829019,1.4799999999999898,0.75,10.88008025170981,71.69021531200461,38.3101350602948
709,0,900,900,0,11.242534266061098,1.4774999999999898,0.75,11.257465733938902,71.56890036036371,37.81143462642481
710,0,900,900,0,10.502716802823693,1.4749999999999899,0.75,11.997283197176307,71.44738065533787,36.95009745816156
711,0,900,900,0,10.036824023482852,1.47249999999999,0.75,12.463175976517148,71.3256555045973,36.362479528080144
712,0,900,900,0,9.427640171430602,1.46999999999999,0.75,13.072359828569398,71.20372421229284,35.631364383723444
713,0,900,900,0,9.166932006780396,1.46749999999999,0.75,13.333067993219604,71.08158607903353,35.24851808581393
714,0,900,900,0,9.255451309869443,1.46499999999999,0.75,13.244548690130557,70.95924040186536,35.2146917117348
715,0,900,900,0,9.028217375410014,1.4624999999999901,0.75,13.471782624589986,70.8366864742419,34.86490384965192
716,0,900,900,0,9.06322698071962,1.4599999999999902,0.75,13.43677301928038,70.7139235860046,34.77715056672422
717,0,900,900,0,8.844046917372983,1.4574999999999902,0.75,13.655953082627017,70.5909510233555,34.434997940728486
718,0,900,900,0,8.637741463007055,1.4549999999999903,0.75,13.862258536992945,70.46776806883237,34.105509531839424
719,0,900,900,0,8.437767396043977,1.4524999999999904,0.75,14.062232603956023,70.34437400128446,33.782141397328445
720,0,900,900,0,8.24085274140532,1.4499999999999904,0.75,14.25914725859468,70.2207680958476,33.46162083725292
721,0,900,900,0,7.94030489689731,1.4474999999999905,0.75,14.55969510310269,70.0969496239176,33.037254520814905
722,0,900,900,0,8.32322718121504,1.4449999999999905,0.75,14.17677281878496,69.97291785312335,33.29614503433839
723,0,900,900,0,8.137289657504272,1.4424999999999906,0.75,14.362710342495728,69.84867204730426,32.98596170480853
724,0,900,900,0,7.806889470264099,1.4399999999999906,0.75,14.6931105297359,69.72421146648044,32.53110093674454
