case,replicate,required,repairers,failure_time,busy_area,capacity_time,queue_area
4,10,8,2,324268.26736845967,25760.49111547214,648536.5347369193,43.21056884581776
4,11,8,2,134170.70430990573,10700.343778668015,268341.40861981147,17.312441861094612
4,12,8,2,391927.87077081855,31474.33965933095,783855.7415416371,31.37074173855103
4,13,8,2,151629.8005797096,11883.173467638444,303259.6011594192,16.78852630548363
4,14,8,2,18510.852574150333,1513.9340827871297,37021.705148300665,2.2060553759511095
4,15,8,2,617825.0325659903,49187.52874183341,1.2356500651319807e6,71.92639448219373
4,16,8,2,59248.60091168703,4662.349792657598,118497.20182337405,5.990183001162222
4,17,8,2,2889.3118046527325,255.32731275043005,5778.623609305465,1.5186215028784817
4,18,8,2,399332.48630695377,32054.792723517632,798664.9726139075,46.79241454728208
4,19,8,2,37577.19712779789,2857.2233944104146,75154.39425559578,1.4616630785367306
4,20,8,2,154798.39967951522,12263.214422421428,309596.79935903044,17.308865670524483
4,21,8,2,138673.84516586066,10933.914480333277,277347.69033172133,10.759037180282121
4,22,8,2,64102.957915139246,5207.803998609845,128205.91583027849,12.797482558518823
4,23,8,2,185143.9689183988,14652.919947664235,370287.9378367976,19.929475031347465
4,24,8,2,325461.05657930794,26277.916672926334,650922.1131586159,37.588094550762435
4,25,8,2,2874.536734717528,251.2170315079241,5749.073469435056,0.7501447694253329
4,26,8,2,240748.39380233354,18976.41312292113,481496.7876046671,27.35247808280019
4,27,8,2,104371.30173806041,8510.954470167368,208742.60347612083,8.389921615836101
4,28,8,2,22356.39983400805,1797.171035309602,44712.7996680161,2.8851038299608263
4,29,8,2,60687.88071877543,4750.569646248694,121375.76143755086,7.739158757655601
4,30,8,2,56994.50151442225,4443.831601071188,113989.0030288445,5.983075536233457
4,31,8,2,393615.4630234601,31095.64813971782,787230.9260469202,33.41642968826636
4,32,8,2,85472.95620268791,6958.814168868167,170945.91240537583,9.45561964201977
4,33,8,2,38849.27612953396,3169.4077601817426,77698.55225906792,6.527022103421473
4,34,8,2,5413.315707868176,434.9689993963953,10826.631415736352,0.7100821868771163
4,35,8,2,105162.4537890837,8156.134487870906,210324.9075781674,15.80042686039269
4,36,8,2,11790.225312768507,970.3328121355823,23580.450625537014,0.818206175525745
4,37,8,2,26572.63111199941,2067.2140723827074,53145.26222399882,2.145771216438334
4,38,8,2,5879.055873386365,452.61555995079806,11758.11174677273,3.045953797295397
4,39,8,2,26075.083636603344,2161.7051399626744,52150.16727320669,2.232998232861064
4,40,8,2,12948.641227096346,1036.1191718932178,25897.282454192693,0.23171935006030253
5,1,12,2,77731.22134972957,9292.044296939292,155462.44269945915,24.61266399191709
5,2,12,2,8231.879721739511,1010.9890521841946,16463.759443479023,2.0174933591133595
5,3,12,2,58254.91825851863,7055.698627283653,116509.83651703726,18.808993381821438
5,4,12,2,17176.600672018645,1980.8485383352468,34353.20134403729,5.735052257462485
5,5,12,2,1077.7772518784611,142.6718127677027,2155.5545037569223,1.18097186875616
5,6,12,2,3256.0582332299996,350.0213013357911,6512.116466459999,0.9935370031400907
5,7,12,2,80255.43818100762,9797.841757298504,160510.87636201523,26.443780888493393
5,8,12,2,1122.1276435067393,142.55899227929243,2244.2552870134787,1.184397448519917
5,9,12,2,1487.278154421826,183.93437314826056,2974.556308843652,0.005781608751476597
5,10,12,2,17519.18378169292,2080.880825517017,35038.36756338584,5.562077558833039
5,11,12,2,12557.000097832684,1518.4167803550113,25114.00019566537,6.354489199434284
5,12,12,2,11062.090443531133,1387.2352477197628,22124.180887062266,5.236843678747846
5,13,12,2,39803.84198653747,4742.629781598271,79607.68397307493,9.380142436616438
5,14,12,2,1062.266000916889,102.51863598428245,2124.532001833778,0.3850355706224491
5,15,12,2,4589.321285528879,543.913692268861,9178.642571057759,0.2155533734157871
5,16,12,2,6522.853365671384,849.0956554841949,13045.706731342769,2.0821229563316592
