t,S,I,R,N,Re
16.2,554.5680695123192,155.67423772782226,289.75769275985897,1000.0000000000005,1.109136139024638
16.3,550.2625333535035,156.08274392764486,293.654722718852,1000.0000000000003,1.1005250667070066
16.4,545.979716277564,156.4587248581962,297.5615588642403,1000.0000000000005,1.0919594325551274
16.5,541.7204905487512,156.8021220504825,301.47738740076676,1000.0000000000005,1.0834409810975019
16.6,537.4857009122994,157.11290585008055,305.4013932376205,1000.0000000000005,1.0749714018245984
16.7,533.2761640133515,157.39107509200267,309.33276089464636,1000.0000000000005,1.0665523280267024
16.8,529.0926680257332,157.63665660942908,313.27067536483804,1000.0000000000005,1.058185336051466
16.9,524.9359724434892,157.8497049362039,317.21432262030737,1000.0000000000005,1.0498719448869778
17.0,520.8068078554359,158.03030191664212,321.1628902279225,1000.0000000000005,1.0416136157108713
17.1,516.7058756842027,158.1785561623984,325.11556815339935,1000.0000000000005,1.033411751368405
17.2,512.6338480950855,158.29460231359286,329.0715495913221,1000.0000000000005,1.0252676961901706
17.3,508.5913679659341,158.37860078777095,333.0300312462953,1000.0000000000005,1.0171827359318677
17.4,504.5790487914697,158.4307370810711,336.99021412745964,1000.0000000000005,1.0091580975829388
17.5,500.59747474438336,158.45122098688057,340.95130426873646,1000.0000000000005,1.0011949494887662
17.6,496.6472007895356,158.44028587692475,344.9125133335401,1000.0000000000005,0.9932944015790707
17.7,492.728752751504,158.39818831828472,348.87305893021176,1000.0000000000005,0.9854575055030075
17.8,488.84262743290304,158.32520718945648,352.83216537764093,1000.0000000000005,0.9776852548658056
17.9,484.9892929601475,158.22164267659994,356.789064363253,1000.0000000000005,0.9699785859202946
18.0,481.16918897546475,158.08781570101584,360.7429953235199,1000.0000000000005,0.962338377950929
18.1,477.382726856103,157.92406728913886,364.6932058547586,1000.0000000000005,0.9547654537122056
18.2,473.6302900065656,157.7307576675293,368.63895232590556,1000.0000000000005,0.9472605800131307
18.3,469.9122344550251,157.50826505668073,372.5795004882946,1000.0000000000005,0.9398244689100498
18.4,466.22888905128843,157.2569852519845,376.5141256967275,1000.0000000000005,0.9324577781025765
18.5,462.5805558521087,156.97733080824557,380.44211333964614,1000.0000000000005,0.925161111704217
18.6,458.9675105518532,156.6697301193205,384.36275932882677,1000.0000000000005,0.917935021103706
18.7,455.39000325904544,156.33462613929896,388.27537060165605,1000.0000000000005,0.9107800065180904
18.8,451.84825869866825,155.97247603510482,392.1792652662274,1000.0000000000005,0.903696517397336
18.9,448.3424767265536,155.5837502968624,396.07377297658445,1000.0000000000005,0.8966849534531068
19.0,444.8728328556089,155.16893182320229,399.9582353211893,1000.0000000000005,0.8897456657112174
19.1,441.4394791624837,154.72851463396844,403.83200620354836,1000.0000000000005,0.882878958324967
19.2,438.04254451254286,154.26300353778262,407.69445194967494,1000.0000000000005,0.8760850890250853
19.3,434.68213513051126,153.77291328565644,411.54495158383276,1000.0000000000005,0.8693642702610221
19.4,431.3583351984458,153.25876766363905,415.3828971379156,1000.0000000000005,0.8627166703968911
19.5,428.07120783653255,152.72109825982298,419.2076939036449,1000.0000000000005,0.8561424156730647
19.6,424.8207953895357,152.16044408999036,423.0187605204744,1000.0000000000005,0.849641590779071
19.7,421.60711995812164,151.57735090414434,426.8155291377345,1000.0000000000005,0.8432142399162429
