t,prey,predator,dprey_dt,dpredator_dt,prey_pct_change,predator_pct_change,invariant
123.8,17.825690783430503,5.51295056244762,-0.18287396226756059,-0.6711636484289805,-1.0259011248952397,-12.174309216569496,-0.7463862938818958
123.9,17.80860371493621,5.446193464081063,-0.15892165164028538,-0.6639670276573656,-0.8923869281621252,-12.191396285063789,-0.7463862939254349
124.0,17.793895761440908,5.380159224598379,-0.1352902723050753,-0.6567078431549307,-0.7603184491967587,-12.20610423855909,-0.746386293951812
124.1,17.78153523586686,5.314853734493843,-0.11197165548093069,-0.6493935308143446,-0.6297074689876856,-12.218464764133142,-0.746386293929663
124.2,17.771491269429916,5.250282132538369,-0.08895773466599821,-0.6420312089570156,-0.5005642650767362,-12.228508730570082,-0.7463862939038446
124.3,17.763733791525553,5.186448876375096,-0.06624056411312562,-0.6346276912796883,-0.37289775275019404,-12.236266208474442,-0.7463862938787387
124.4,17.758233526394392,5.123357745949655,-0.04381231319727208,-0.6271894908665407,-0.24671549189930983,-12.241766473605606,-0.7463862939068411
124.5,17.754961962866286,5.061011908639051,-0.02166528234336429,-0.6197228332767186,-0.122023817278101,-12.24503803713371,-0.7463862939413048
124.6,17.753891352334296,4.999413924222062,0.00020810251371483623,-0.6122336609067611,0.0011721515558755222,-12.2461086476657,-0.7463862939364099
124.7,17.7549947072944,4.938565747910116,0.02181529641404989,-0.6047276372153394,0.12286850417976959,-12.245005292705596,-0.7463862939197158
124.8,17.758245775062086,4.878468791773418,0.04316362130055773,-0.5972101594292,0.24306241645316357,-12.241754224937912,-0.7463862938866418
124.9,17.763619038564727,4.819123929972106,0.0642602720233656,-0.5896863630750782,0.3617521400557897,-12.236380961435275,-0.7463862938920786
125.0,17.77108968274591,4.7605315524101535,0.08511230516614199,-0.5821611341688215,0.4789368951796928,-12.228910317254089,-0.7463862939233645
125.1,17.780633584613167,4.702691583141607,0.10572664043561053,-0.5746391159296288,0.5946168337167874,-12.219366415386832,-0.7463862939366542
125.2,17.792227313237984,4.645603480370609,0.12611006872533048,-0.5671247128119489,0.7087930392587811,-12.207772686762016,-0.7463862939259023
