time,transition,failed,working,spares,busy_repairers,repair_queue
685.69934029307,machine_failure,1,10,2,1,0
686.3014954147578,interval_end,1,10,2,1,0
686.3014954147578,repair_complete,0,10,3,0,0
687.2816675755436,interval_end,0,10,3,0,0
687.2816675755436,machine_failure,1,10,2,1,0
688.191609372238,interval_end,1,10,2,1,0
688.191609372238,repair_complete,0,10,3,0,0
702.5688545990367,interval_end,0,10,3,0,0
702.5688545990367,machine_failure,1,10,2,1,0
703.4052881799555,interval_end,1,10,2,1,0
703.4052881799555,repair_complete,0,10,3,0,0
706.7627974024647,interval_end,0,10,3,0,0
706.7627974024647,machine_failure,1,10,2,1,0
708.8888977734042,interval_end,1,10,2,1,0
708.8888977734042,repair_complete,0,10,3,0,0
709.7081540012416,interval_end,0,10,3,0,0
709.7081540012416,machine_failure,1,10,2,1,0
711.8680683939101,interval_end,1,10,2,1,0
711.8680683939101,repair_complete,0,10,3,0,0
714.8234805192403,interval_end,0,10,3,0,0
714.8234805192403,machine_failure,1,10,2,1,0
716.2890760641176,interval_end,1,10,2,1,0
716.2890760641176,repair_complete,0,10,3,0,0
739.0070935462052,interval_end,0,10,3,0,0
739.0070935462052,machine_failure,1,10,2,1,0
739.4421056587715,interval_end,1,10,2,1,0
739.4421056587715,repair_complete,0,10,3,0,0
742.1050872459801,interval_end,0,10,3,0,0
742.1050872459801,machine_failure,1,10,2,1,0
743.495542966143,interval_end,1,10,2,1,0
743.495542966143,machine_failure,2,10,1,1,1
744.5312140829211,interval_end,2,10,1,1,1
744.5312140829211,repair_complete,1,10,2,1,0
745.1702636796282,interval_end,1,10,2,1,0
745.1702636796282,repair_complete,0,10,3,0,0
752.8587705197908,interval_end,0,10,3,0,0
752.8587705197908,machine_failure,1,10,2,1,0
753.2293918827926,interval_end,1,10,2,1,0
753.2293918827926,repair_complete,0,10,3,0,0
792.473252222255,interval_end,0,10,3,0,0
792.473252222255,machine_failure,1,10,2,1,0
793.1350112680531,interval_end,1,10,2,1,0
793.1350112680531,repair_complete,0,10,3,0,0
804.1144154378383,interval_end,0,10,3,0,0
804.1144154378383,machine_failure,1,10,2,1,0
804.4863905834941,interval_end,1,10,2,1,0
804.4863905834941,repair_complete,0,10,3,0,0
812.5894220943673,interval_end,0,10,3,0,0
812.5894220943673,machine_failure,1,10,2,1,0
813.8285555760592,interval_end,1,10,2,1,0
813.8285555760592,repair_complete,0,10,3,0,0
816.209160920163,interval_end,0,10,3,0,0
816.209160920163,machine_failure,1,10,2,1,0
816.476836850343,interval_end,1,10,2,1,0
816.476836850343,machine_failure,2,10,1,1,1
817.2063285263354,interval_end,2,10,1,1,1
817.2063285263354,repair_complete,1,10,2,1,0
817.2378986815961,interval_end,1,10,2,1,0
817.2378986815961,repair_complete,0,10,3,0,0
836.9155539990106,interval_end,0,10,3,0,0
836.9155539990106,machine_failure,1,10,2,1,0
837.7783841686021,interval_end,1,10,2,1,0
837.7783841686021,repair_complete,0,10,3,0,0
843.3049660437159,interval_end,0,10,3,0,0
843.3049660437159,machine_failure,1,10,2,1,0
846.3858032052037,interval_end,1,10,2,1,0
846.3858032052037,repair_complete,0,10,3,0,0
852.170932731987,interval_end,0,10,3,0,0
852.170932731987,machine_failure,1,10,2,1,0
853.7108386758446,interval_end,1,10,2,1,0
853.7108386758446,repair_complete,0,10,3,0,0
886.7357442894662,interval_end,0,10,3,0,0
